YEAR,MOVIE,GENRE,MPAARATING,DISTRIBUTOR,TOTALFORYEAR,TOTALIN2019DOLLARS,TICKETSSOLD
1995,Batman Forever,Drama,PG-13,Warner Bros.,"184.031112","$387,522,978","42306002"
1996,Independence Day,Adventure,PG-13,20th Century Fox,"306.169255","$634,504,608","69269062"
1997,Men in Black,Adventure,PG-13,Sony Pictures,"250.650052","$500,207,943","54607854"
1998,Titanic,Adventure,PG-13,Paramount Pictures,"443.319081","$865,842,808","94524324"
1999,Star Wars Ep. I: The Phantom Menace,Adventure,PG,20th Century Fox,"430.443350","$776,153,749","84732942"
2000,How the Grinch Stole Christmas,Adventure,PG,Universal,"253.367455","430.583644","47006948"
2001,Harry Potter and the Sorcerer’s Stone,Adventure,PG,Warner Bros.,"300.404434","$486,166,890","53074988"
2002,Spider-Man,Adventure,PG-13,Sony Pictures,"403.706375","636.480.273","69484746"
2003,Finding Nemo,Adventure,G,Walt Disney,"339.714367","$516,050,346","56337374"
2004,Shrek 2,Adventure,PG,Dreamworks SKG,"441.226247","$650,826,473","71050925"
2005,Star Wars Ep. III: Revenge of the Sith,Action,PG-13,20th Century Fox,"380.270577","$543,413,171","59324582"
2006,Pirates of the Caribbean: Dead Man’s Chest,Action,PG-13,Walt Disney,"423.315812","$591,995,851","64628368"
2007,Spider-Man 3,Adventure,PG-13,Sony Pictures,"336.530303","$448,054,878","48914288"
2008,The Dark Knight,Adventure,PG-13,Warner Bros.,"531.00178","$677,433,772","73955652"
2009,Transformers: Revenge of the Fallen,Action,PG-13,Paramount Pictures,"402.111870","$491,112,631","53614916"
2010,Toy Story 3,Action,G,Walt Disney,"415.004880","$481,805,411","52598844"
2011,Harry Potter and the Deathly Hallows: Part II,Action,PG-13,Warner Bros.,"381.011219","$440,108,798","48046812"
2012,The Avengers,Adventure,PG-13,Walt Disney,"623.357910","$717,331,462","78311295"
2013,Iron Man 3,Adventure,PG-13,Walt Disney,"408.992272","$460,808,016","50306552"
2014,Guardians of the Galaxy,Adventure,PG-13,Walt Disney,"333.055258","$373,413,235","40765637"
2015,Star Wars Ep. VII: The Force Awakens,Action,PG-13,Walt Disney,"742.208942","$806,480,887","88043765"
2016,Finding Dory,Action,PG,Walt Disney,"486.295561","$514,967,322","56219140"
2017,Star Wars Ep. VIII: The Last Jedi,Action,PG-13,Walt Disney,"517.218368","$528,173,936","57660910"
2018,Black Panther,Action,PG-13,Walt Disney,"700.059566","$703,901,821","76845177"
2019,Avengers: Endgame,Action,PG-13,Walt Disney,"858.373000","$858,373,002","93708843"
2020,Bad Boys For Life,Action,R,Sony Pictures,"204.417855","$204,417,848","22316359"
2021,Shang-Chi and the Legend of the Ten Rings,Action,PG-13,Walt Disney,"224.226704","$224,226,704","24478897"
